,ENSEMBL_ID
785,ENSG00000073584
786,ENSG00000073605
787,ENSG00000073614
788,ENSG00000073712
789,ENSG00000073803
790,ENSG00000073849
791,ENSG00000073910
792,ENSG00000073921
793,ENSG00000073969
794,ENSG00000074054
795,ENSG00000074071
796,ENSG00000074181
797,ENSG00000074201
798,ENSG00000074219
799,ENSG00000074266
800,ENSG00000074319
801,ENSG00000074356
802,ENSG00000074416
803,ENSG00000074527
804,ENSG00000074582
805,ENSG00000074603
806,ENSG00000074621
807,ENSG00000074657
808,ENSG00000074660
809,ENSG00000074695
810,ENSG00000074696
811,ENSG00000074755
812,ENSG00000074800
813,ENSG00000074842
814,ENSG00000074855
815,ENSG00000074935
816,ENSG00000074964
817,ENSG00000075089
818,ENSG00000075131
819,ENSG00000075142
820,ENSG00000075151
821,ENSG00000075188
822,ENSG00000075234
823,ENSG00000075239
824,ENSG00000075240
825,ENSG00000075292
826,ENSG00000075303
827,ENSG00000075336
828,ENSG00000075391
829,ENSG00000075399
830,ENSG00000075407
831,ENSG00000075413
832,ENSG00000075415
833,ENSG00000075420
834,ENSG00000075426
835,ENSG00000075539
836,ENSG00000075568
837,ENSG00000075618
838,ENSG00000075624
839,ENSG00000075651
840,ENSG00000075711
841,ENSG00000075785
842,ENSG00000075790
843,ENSG00000075856
844,ENSG00000075884
845,ENSG00000075914
846,ENSG00000075945
847,ENSG00000075975
848,ENSG00000076003
849,ENSG00000076043
850,ENSG00000076053
851,ENSG00000076067
852,ENSG00000076108
853,ENSG00000076201
854,ENSG00000076242
855,ENSG00000076248
856,ENSG00000076258
857,ENSG00000076321
858,ENSG00000076351
859,ENSG00000076356
860,ENSG00000076382
861,ENSG00000076513
862,ENSG00000076554
863,ENSG00000076555
864,ENSG00000076604
865,ENSG00000076650
866,ENSG00000076662
867,ENSG00000076685
868,ENSG00000076706
869,ENSG00000076864
870,ENSG00000076924
871,ENSG00000076928
872,ENSG00000076944
873,ENSG00000076984
874,ENSG00000077044
875,ENSG00000077097
876,ENSG00000077147
877,ENSG00000077150
878,ENSG00000077152
879,ENSG00000077157
880,ENSG00000077232
881,ENSG00000077235
882,ENSG00000077238
883,ENSG00000077254
884,ENSG00000077312
885,ENSG00000077348
886,ENSG00000077380
887,ENSG00000077420
888,ENSG00000077454
889,ENSG00000077458
890,ENSG00000077463
891,ENSG00000077514
892,ENSG00000077549
893,ENSG00000077585
894,ENSG00000077684
895,ENSG00000077782
896,ENSG00000077942
897,ENSG00000078043
898,ENSG00000078070
899,ENSG00000078124
900,ENSG00000078140
901,ENSG00000078142
902,ENSG00000078237
903,ENSG00000078246
904,ENSG00000078269
905,ENSG00000078304
906,ENSG00000078369
907,ENSG00000078403
908,ENSG00000078487
909,ENSG00000078618
910,ENSG00000078668
911,ENSG00000078674
912,ENSG00000078699
913,ENSG00000078747
914,ENSG00000078804
915,ENSG00000078808
916,ENSG00000078902
917,ENSG00000078967
918,ENSG00000079134
919,ENSG00000079150
920,ENSG00000079246
921,ENSG00000079257
922,ENSG00000079277
923,ENSG00000079308
924,ENSG00000079313
925,ENSG00000079332
926,ENSG00000079337
927,ENSG00000079387
928,ENSG00000079432
929,ENSG00000079435
930,ENSG00000079459
931,ENSG00000079462
932,ENSG00000079616
933,ENSG00000079691
934,ENSG00000079739
935,ENSG00000079785
936,ENSG00000079805
937,ENSG00000079819
938,ENSG00000079950
939,ENSG00000079974
940,ENSG00000079999
941,ENSG00000080189
942,ENSG00000080345
943,ENSG00000080371
944,ENSG00000080503
945,ENSG00000080546
946,ENSG00000080603
947,ENSG00000080608
948,ENSG00000080802
949,ENSG00000080815
950,ENSG00000080819
951,ENSG00000080822
952,ENSG00000080823
953,ENSG00000080824
954,ENSG00000080845
955,ENSG00000081019
956,ENSG00000081026
957,ENSG00000081059
958,ENSG00000081087
959,ENSG00000081154
960,ENSG00000081177
961,ENSG00000081181
962,ENSG00000081189
963,ENSG00000081237
964,ENSG00000081307
965,ENSG00000081320
966,ENSG00000081377
967,ENSG00000081386
968,ENSG00000081665
969,ENSG00000081692
970,ENSG00000081721
971,ENSG00000081760
972,ENSG00000081791
973,ENSG00000081803
974,ENSG00000081870
975,ENSG00000081913
976,ENSG00000082014
977,ENSG00000082068
978,ENSG00000082146
979,ENSG00000082153
980,ENSG00000082196
981,ENSG00000082212
982,ENSG00000082213
983,ENSG00000082258
984,ENSG00000082269
985,ENSG00000082438
986,ENSG00000082512
987,ENSG00000082515
988,ENSG00000082516
989,ENSG00000082641
990,ENSG00000082701
991,ENSG00000082781
992,ENSG00000082805
993,ENSG00000082898
994,ENSG00000082996
995,ENSG00000083093
996,ENSG00000083097
997,ENSG00000083099
998,ENSG00000083123
999,ENSG00000083168
1000,ENSG00000083223
1001,ENSG00000083290
1002,ENSG00000083312
1003,ENSG00000083444
1004,ENSG00000083457
1005,ENSG00000083520
1006,ENSG00000083535
1007,ENSG00000083544
1008,ENSG00000083642
1009,ENSG00000083799
1010,ENSG00000083807
1011,ENSG00000083812
1012,ENSG00000083828
1013,ENSG00000083838
1014,ENSG00000083844
1015,ENSG00000083845
1016,ENSG00000083857
1017,ENSG00000083896
1018,ENSG00000083937
1019,ENSG00000084070
1020,ENSG00000084072
1021,ENSG00000084073
1022,ENSG00000084090
1023,ENSG00000084092
1024,ENSG00000084093
1025,ENSG00000084112
1026,ENSG00000084207
1027,ENSG00000084234
1028,ENSG00000084463
1029,ENSG00000084623
1030,ENSG00000084636
1031,ENSG00000084652
1032,ENSG00000084676
1033,ENSG00000084693
1034,ENSG00000084733
1035,ENSG00000084754
1036,ENSG00000084764
1037,ENSG00000084774
1038,ENSG00000085063
1039,ENSG00000085117
1040,ENSG00000085231
1041,ENSG00000085274
1042,ENSG00000085365
1043,ENSG00000085377
1044,ENSG00000085382
1045,ENSG00000085415
1046,ENSG00000085449
1047,ENSG00000085491
1048,ENSG00000085511
1049,ENSG00000085514
1050,ENSG00000085644
1051,ENSG00000085662
1052,ENSG00000085719
1053,ENSG00000085721
1054,ENSG00000085733
1055,ENSG00000085760
1056,ENSG00000085788
1057,ENSG00000085832
1058,ENSG00000085871
1059,ENSG00000085872
1060,ENSG00000085978
1061,ENSG00000085982
1062,ENSG00000085998
1063,ENSG00000086015
1064,ENSG00000086061
1065,ENSG00000086062
1066,ENSG00000086065
1067,ENSG00000086102
1068,ENSG00000086189
1069,ENSG00000086200
1070,ENSG00000086232
1071,ENSG00000086289
1072,ENSG00000086300
1073,ENSG00000086475
1074,ENSG00000086504
1075,ENSG00000086544
1076,ENSG00000086589
1077,ENSG00000086598
1078,ENSG00000086666
1079,ENSG00000086730
1080,ENSG00000086827
1081,ENSG00000086848
1082,ENSG00000087008
1083,ENSG00000087053
1084,ENSG00000087074
1085,ENSG00000087076
1086,ENSG00000087077
1087,ENSG00000087086
1088,ENSG00000087087
1089,ENSG00000087088
1090,ENSG00000087095
1091,ENSG00000087111
1092,ENSG00000087116
1093,ENSG00000087152
1094,ENSG00000087157
1095,ENSG00000087191
1096,ENSG00000087206
1097,ENSG00000087245
1098,ENSG00000087253
1099,ENSG00000087263
1100,ENSG00000087266
1101,ENSG00000087269
1102,ENSG00000087274
1103,ENSG00000087302
1104,ENSG00000087303
1105,ENSG00000087338
1106,ENSG00000087365
1107,ENSG00000087448
1108,ENSG00000087460
1109,ENSG00000087470
1110,ENSG00000087502
1111,ENSG00000087884
1112,ENSG00000087903
1113,ENSG00000087995
1114,ENSG00000088035
1115,ENSG00000088038
1116,ENSG00000088179
1117,ENSG00000088205
1118,ENSG00000088247
1119,ENSG00000088256
1120,ENSG00000088280
1121,ENSG00000088298
1122,ENSG00000088325
1123,ENSG00000088356
1124,ENSG00000088367
1125,ENSG00000088387
1126,ENSG00000088448
1127,ENSG00000088451
1128,ENSG00000088543
1129,ENSG00000088682
1130,ENSG00000088727
1131,ENSG00000088766
1132,ENSG00000088808
1133,ENSG00000088812
1134,ENSG00000088826
1135,ENSG00000088832
1136,ENSG00000088833
1137,ENSG00000088876
1138,ENSG00000088881
1139,ENSG00000088888
1140,ENSG00000088899
1141,ENSG00000088930
1142,ENSG00000088970
1143,ENSG00000088986
1144,ENSG00000088992
1145,ENSG00000089006
1146,ENSG00000089009
1147,ENSG00000089022
1148,ENSG00000089048
1149,ENSG00000089050
1150,ENSG00000089053
1151,ENSG00000089057
1152,ENSG00000089060
1153,ENSG00000089063
1154,ENSG00000089094
