,ENSEMBL_ID
534,ENSG00000063761
535,ENSG00000063854
536,ENSG00000063978
537,ENSG00000064012
538,ENSG00000064042
539,ENSG00000064102
540,ENSG00000064115
541,ENSG00000064199
542,ENSG00000064225
543,ENSG00000064313
544,ENSG00000064393
545,ENSG00000064419
546,ENSG00000064489
547,ENSG00000064490
548,ENSG00000064545
549,ENSG00000064547
550,ENSG00000064601
551,ENSG00000064607
552,ENSG00000064651
553,ENSG00000064652
554,ENSG00000064666
555,ENSG00000064687
556,ENSG00000064703
557,ENSG00000064726
558,ENSG00000064763
559,ENSG00000064932
560,ENSG00000064933
561,ENSG00000064961
562,ENSG00000064989
563,ENSG00000064995
564,ENSG00000064999
565,ENSG00000065000
566,ENSG00000065029
567,ENSG00000065054
568,ENSG00000065057
569,ENSG00000065060
570,ENSG00000065150
571,ENSG00000065154
572,ENSG00000065183
573,ENSG00000065243
574,ENSG00000065268
575,ENSG00000065308
576,ENSG00000065357
577,ENSG00000065361
578,ENSG00000065457
579,ENSG00000065491
580,ENSG00000065518
581,ENSG00000065526
582,ENSG00000065534
583,ENSG00000065548
584,ENSG00000065559
585,ENSG00000065613
586,ENSG00000065615
587,ENSG00000065621
588,ENSG00000065665
589,ENSG00000065717
590,ENSG00000065802
591,ENSG00000065809
592,ENSG00000065833
593,ENSG00000065882
594,ENSG00000065883
595,ENSG00000065911
596,ENSG00000065923
597,ENSG00000065970
598,ENSG00000065989
599,ENSG00000066027
600,ENSG00000066044
601,ENSG00000066056
602,ENSG00000066084
603,ENSG00000066117
604,ENSG00000066135
605,ENSG00000066136
606,ENSG00000066322
607,ENSG00000066336
608,ENSG00000066379
609,ENSG00000066422
610,ENSG00000066427
611,ENSG00000066455
612,ENSG00000066557
613,ENSG00000066583
614,ENSG00000066651
615,ENSG00000066654
616,ENSG00000066697
617,ENSG00000066739
618,ENSG00000066777
619,ENSG00000066827
620,ENSG00000066855
621,ENSG00000066923
622,ENSG00000066926
623,ENSG00000067057
624,ENSG00000067064
625,ENSG00000067066
626,ENSG00000067082
627,ENSG00000067113
628,ENSG00000067141
629,ENSG00000067167
630,ENSG00000067182
631,ENSG00000067208
632,ENSG00000067221
633,ENSG00000067225
634,ENSG00000067248
635,ENSG00000067334
636,ENSG00000067365
637,ENSG00000067369
638,ENSG00000067533
639,ENSG00000067560
640,ENSG00000067596
641,ENSG00000067606
642,ENSG00000067704
643,ENSG00000067798
644,ENSG00000067829
645,ENSG00000067836
646,ENSG00000067900
647,ENSG00000067955
648,ENSG00000067992
649,ENSG00000068001
650,ENSG00000068024
651,ENSG00000068028
652,ENSG00000068079
653,ENSG00000068120
654,ENSG00000068137
655,ENSG00000068305
656,ENSG00000068308
657,ENSG00000068323
658,ENSG00000068354
659,ENSG00000068383
660,ENSG00000068394
661,ENSG00000068400
662,ENSG00000068438
663,ENSG00000068650
664,ENSG00000068697
665,ENSG00000068724
666,ENSG00000068745
667,ENSG00000068784
668,ENSG00000068796
669,ENSG00000068831
670,ENSG00000068878
671,ENSG00000068885
672,ENSG00000068903
673,ENSG00000068912
674,ENSG00000068971
675,ENSG00000069020
676,ENSG00000069248
677,ENSG00000069275
678,ENSG00000069329
679,ENSG00000069345
680,ENSG00000069399
681,ENSG00000069424
682,ENSG00000069431
683,ENSG00000069509
684,ENSG00000069535
685,ENSG00000069702
686,ENSG00000069849
687,ENSG00000069869
688,ENSG00000069943
689,ENSG00000069956
690,ENSG00000069966
691,ENSG00000069974
692,ENSG00000069998
693,ENSG00000070010
694,ENSG00000070018
695,ENSG00000070061
696,ENSG00000070081
697,ENSG00000070087
698,ENSG00000070159
699,ENSG00000070214
700,ENSG00000070269
701,ENSG00000070366
702,ENSG00000070367
703,ENSG00000070404
704,ENSG00000070413
705,ENSG00000070444
706,ENSG00000070476
707,ENSG00000070495
708,ENSG00000070501
709,ENSG00000070540
710,ENSG00000070610
711,ENSG00000070614
712,ENSG00000070669
713,ENSG00000070718
714,ENSG00000070756
715,ENSG00000070761
716,ENSG00000070770
717,ENSG00000070785
718,ENSG00000070814
719,ENSG00000070831
720,ENSG00000070882
721,ENSG00000070950
722,ENSG00000070961
723,ENSG00000071051
724,ENSG00000071054
725,ENSG00000071073
726,ENSG00000071082
727,ENSG00000071127
728,ENSG00000071189
729,ENSG00000071205
730,ENSG00000071242
731,ENSG00000071243
732,ENSG00000071246
733,ENSG00000071282
734,ENSG00000071462
735,ENSG00000071537
736,ENSG00000071553
737,ENSG00000071564
738,ENSG00000071575
739,ENSG00000071626
740,ENSG00000071655
741,ENSG00000071794
742,ENSG00000071859
743,ENSG00000071889
744,ENSG00000071894
745,ENSG00000071967
746,ENSG00000071994
747,ENSG00000072042
748,ENSG00000072062
749,ENSG00000072110
750,ENSG00000072121
751,ENSG00000072134
752,ENSG00000072135
753,ENSG00000072163
754,ENSG00000072201
755,ENSG00000072210
756,ENSG00000072274
757,ENSG00000072310
758,ENSG00000072364
759,ENSG00000072401
760,ENSG00000072415
761,ENSG00000072422
762,ENSG00000072501
763,ENSG00000072506
764,ENSG00000072518
765,ENSG00000072609
766,ENSG00000072682
767,ENSG00000072736
